"boxerID","wins","defeats","draws","wins_by_KO","defeats_by_KO"
"9383","46","9",0,"21 KOs","2 KOs"
"12684","42","13",2,"14 KOs","2 KOs"
"9034","55","7",0,"22 KOs","2 KOs"
"447","43","19",1,"27 KOs","7 KOs"
"9785","98","38",4,"25 KOs","7 KOs"
"7205","26","5",0,"22 KOs","4 KOs"
"33541","35","2",1,"16 KOs","0 KOs"
"49144","132","36",17,"34 KOs","2 KOs"
"588","55","7",1,"31 KOs","5 KOs"
"10142","67","21",9,"10 KOs","6 KOs"
"8837","66","13",1,"57 KOs","8 KOs"
"10119","48","50",15,"6 KOs","3 KOs"
"10529","53","7",5,"17 KOs","2 KOs"
"24758","76","17",2,"31 KOs","8 KOs"
"9386","58","9",1,"44 KOs","1 KOs"
"9935","96","6",8,"27 KOs","0 KOs"
"12663","56","26",6,"22 KOs","9 KOs"
"51223","24","2",1,"14 KOs","2 KOs"
"72807","42","24",11,"17 KOs","7 KOs"
"11393","32","24",1,"9 KOs","6 KOs"
"44766","33","2",2,"18 KOs","1 KOs"
"9700","132","26",14,"68 KOs","17 KOs"
"11467","39","9",0,"23 KOs","8 KOs"
"9449","97","29",16,"15 KOs","5 KOs"
"13881","49","10",3,"11 KOs","2 KOs"
"12560","66","16",7,"41 KOs","4 KOs"
"12317","80","36",33,"27 KOs","6 KOs"
"344846","27","2",2,"19 KOs","2 KOs"
"432","55","13",1,"38 KOs","4 KOs"
"11287","77","26",9,"52 KOs","9 KOs"
"406","31","4",3,"19 KOs","0 KOs"
"11318","87","25",7,"49 KOs","7 KOs"
